%% rladata %%

%% 10×5 %%
dataArray = { 
    [10, 5, 2]; 
    [5, 1, 2, 21, 1, 1, 53, 2, 5, 95, 3, 95, 2, 4, 55, 1, 55, 1, 3, 34]; 
    [5, 2, 1, 21, 3, 21, 2, 4, 52, 3, 52, 3, 5, 16, 2, 16, 4, 16, 2, 3, 26, 1, 26, 3, 2, 71, 3, 71, 5, 71]; 
    [5, 2, 4, 39, 5, 39, 2, 5, 98, 2, 98, 2, 2, 42, 1, 42, 3, 3, 31, 4, 31, 1, 31, 1, 1, 12]; 
    [5, 2, 2, 77, 4, 77, 1, 1, 55, 1, 5, 79, 3, 3, 66, 4, 66, 1, 66, 2, 4, 77, 5, 77]; 
    [5, 1, 1, 83, 3, 4, 34, 3, 34, 5, 34, 1, 3, 64, 2, 2, 19, 1, 19, 1, 5, 37]; 
    [5, 1, 2, 54, 3, 3, 43, 2, 43, 5, 43, 3, 5, 79, 2, 79, 4, 79, 3, 1, 92, 5, 92, 2, 92, 1, 4, 62]; 
    [5, 3, 4, 69, 2, 69, 3, 69, 2, 5, 77, 3, 77, 1, 2, 87, 3, 3, 87, 2, 87, 4, 87, 3, 1, 93, 5, 93, 3, 93]; 
    [5, 1, 3, 38, 1, 1, 60, 2, 2, 41, 1, 41, 2, 4, 24, 1, 24, 2, 5, 83, 2, 83]; 
    [5, 1, 4, 17, 2, 2, 49, 4, 49, 2, 5, 25, 1, 25, 1, 1, 44, 1, 3, 98]; 
    [5, 2, 5, 77, 2, 77, 2, 4, 79, 5, 79, 3, 3, 43, 1, 43, 2, 43, 2, 2, 75, 5, 75, 3, 1, 96, 4, 96, 5, 96]; 
};
dataArray = {  
    [10, 5, 2];  
    [5, 1, 1, 20, 1, 4, 87, 2, 2, 31, 3, 31, 2, 5, 76, 1, 76, 1, 3, 17];  
    [5, 2, 5, 25, 3, 25, 2, 3, 32, 5, 32, 3, 1, 24, 2, 24, 5, 24, 2, 2, 18, 5, 18, 2, 4, 81, 1, 81];  
    [5, 3, 2, 72, 3, 72, 5, 72, 2, 3, 23, 5, 23, 2, 5, 28, 2, 28, 2, 1, 58, 4, 58, 2, 4, 99, 1, 99];  
    [5, 1, 3, 86, 2, 2, 76, 4, 76, 1, 5, 97, 1, 1, 45, 3, 4, 90, 1, 90, 5, 90];  
    [5, 3, 5, 27, 4, 27, 3, 27, 3, 1, 42, 4, 42, 5, 42, 1, 4, 48, 2, 3, 17, 1, 17, 1, 2, 46];  
    [5, 1, 2, 67, 3, 1, 98, 3, 98, 2, 98, 1, 5, 48, 2, 4, 27, 5, 27, 3, 3, 62, 2, 62, 5, 62];  
    [5, 1, 5, 28, 3, 2, 12, 5, 12, 1, 12, 3, 4, 19, 2, 19, 3, 19, 2, 1, 80, 3, 80, 1, 3, 50];  
    [5, 3, 2, 63, 4, 63, 3, 63, 2, 1, 94, 3, 94, 1, 3, 98, 1, 4, 50, 2, 5, 80, 1, 80];  
    [5, 2, 5, 14, 1, 14, 2, 1, 75, 5, 75, 2, 3, 50, 1, 50, 2, 2, 41, 4, 41, 2, 4, 55, 1, 55];  
    [5, 1, 5, 72, 1, 3, 18, 2, 2, 37, 4, 37, 2, 4, 79, 3, 79, 2, 1, 61, 2, 61];  
};
dataArray = {  
    [10, 5, 2];  
    [5, 1, 2, 23, 1, 3, 45, 2, 1, 82, 3, 82, 2, 5, 84, 1, 84, 1, 4, 38];  
